,question,answer,a,b,c
70,"A man went on a trip with a fox, a goose and a sack of corn. He came upon a stream which he had to cross and found a tiny boat to use to cross the stream. He could only take himself and one other - the fox, the goose, or the corn - one at a time. He could not leave the fox alone with the goose or the goose alone with the corn. How does he get all safely over the stream?",Take the goose over first and come back. Then take the fox over and bring the goose back. Now take the corn over and come back alone to get the goose. Take the goose over and the job is done!,Take the fox over first and come back. Then take the goose over and bring the fox back. Now take the corn over and come back alone to get the fox. Take the fox over and the job is done!,Take the corn over first and come back. Then take the goose over and bring the corn back. Now take the fox over and come back alone to get the corn. Take the corn over and the job is done!,Take the goose over first and come back. Then take the corn over and bring the goose back. Now take the fox over and come back alone to get the goose. Take the goose over and the job is done!
71,"A man who lives on the tenth floor takes the elevator down to the first floor every morning and goes to work. In the evening, when he comes back, on a rainy day, or if there are other people in the elevator, he goes to his floor directly. Otherwise, he goes to the seventh floor and walks up three flights of stairs to his apartment. Why?","The man is short of stature. He can't reach the upper elevator buttons, but he can push on it with his umbrella on a rainy day.",The man is afraid of elevators and prefers to take the stairs whenever possible.,"The elevator buttons for the tenth floor are broken, so he has to go to the seventh floor and walk up.",The man enjoys the exercise and prefers to take the stairs instead of the elevator.
72,A man who was outside in the rain without an umbrella or hat didn't get a single hair on his head wet. Why?,He was bald.,He was wearing a waterproof hat.,He was standing under a tree.,He had a magical force field around him.
73,A man who was outside in the rain without an umbrella or hat didn't get a single hair on his head wet. Why?,He was bald.,He was wearing a waterproof hat,He had a magical force field protecting him,He was standing under a tree
74,"A murderer is condemned to death. He has to choose between three rooms. The first is full of raging fires, the second is full of assassins with loaded guns, and the third is full of lions that haven't eaten in 3 years. Which room is safest for him?",The third. Lions that haven't eaten in three years are dead.,The first room is safest for him because the raging fires will quickly kill him and end his suffering.,The second room is safest for him because the assassins with loaded guns might have mercy and spare his life.,The third room is safest for him because the lions that haven't eaten in three years are weak and unable to harm him.
75,A new medical building containing 100 offices had just been completed. Mark was hired to paint the numbers 1 to 100 on the doors. How many times will Mark have to paint the number nine?,"20!These are the doors: 9, 19, 29, 39, 49, 59, 69, 79, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99.",15,10,25
76,A nonstop train leaves Moscow for Leningrad at 60 mph. Another nonstop train leaves Leningrad for Moscow at 40 mph. How far apart are the trains 1 hour before they pass each other?,100 miles (60+40),80 miles (60-40),120 miles (60+40+20),50 miles (60-10)
77,"A one-seeded fruit I may be, but all of your calendars are full of me. What am I?",A date.,A grape,A cherry,A pomegranate
78,"A pet shop owner had a parrot with a sign on its cage that said ""Parrot repeats everything it hears"". Davey bought the parrot and for two weeks he spoke to it and it didn't say a word. He returned the parrot but the shopkeeper said he never lied about the parrot. How can this be?",The parrot is deaf.,The parrot was trained not to speak,The parrot was scared and didn't feel comfortable speaking,The parrot was sick and unable to speak
79,"A pipe, a carrot, and a couple sticks are lying together in a field. Why?",They're what is left of a melted snowman.,They were left behind by a group of picnickers.,They were dropped by a passing hiker.,They were accidentally left behind by a child playing in the field.
80,"A pipe, a carrot, and a couple sticks are lying together in a field. Why?",They're what is left of a melted snowman.,They were left behind by a group of picnickers.,They were accidentally dropped by a passing hiker.,They were discarded by a group of children playing in the field.
81,A plane crashed between the border of Canada and America. Where do you bury the survivors?,"They are survivors, you don't bury them.",Canada,America,In the ocean
82,"A plane with 50 passengers crashes into a mountain and everyone is killed, but there were only 49 bodies. How is this possible?",Two of the passengers were siamese twins.,The 50th passenger was a ghost and did not have a physical body.,One of the passengers was a stowaway and their body was not accounted for.,The crash caused one of the bodies to be completely destroyed and unidentifiable.
