questions,answers,Gpt
You can't taste it unless you undress it. What is it?,A banana.,"option : A watermelon, option : A pineapple, option : A cucumber"
You play with it at night and it vibrates. What is it?,A cell phone.,"option : A toothbrush, option : A guitar, option : A flashlight"
"What's at least six inches long, goes in your mouth, and is more fun when it vibrates?",An electric toothbrush.,"option : A pencil, option : A spoon, option : A lollipop"
"I go in hard, come out soft, and you love to blow me. What am I?",Chewing gum.,"option : Bubble gum, option : Cotton candy, option : Balloon"
I am always hard when dry but smooth and soft when wet. What am I?,Sponge.,"option : Rock, option : Sand, option : Paper"
What's long and hard when it's young and soft and small when it's old?,A candle.,"option : A tree, option : A pencil, option : A snake"
What does a woman have two of that a cow has four of?,Legs.,"option : Arms, option : Ears, option : Eyes"
"What's white, sticky, and better to spit than to swallow?",Toothpaste.,"option : Glue, option : Marshmallow, option : Yogurt"
"What's made of rubber, handed out at some schools, and exists to prevent mistakes?",Erasers.,"option : Pencils, option : Chalk, option : Whiteout"
I'm great for protection. You use your fingers to get me off. What am I?,Gloves.,"option : Socks, option : Hat, option : Sunglasses"
"What gets longer if pulled, fits snugly between breasts, slides neatly into a hole, chokes people when used incorrectly, and works well when jerked?",A seatbelt.,"option : A shoelace, option : A necklace, option : A scarf"
"What's beautiful and natural, but gets prickly if it isn't trimmed regularly?",The lawn.,"option : The rose bush, option : The cactus, option : The hedge"
"I assist with erections. Sometimes, giant balls hang from me. I'm known as a big swinger. What am I?",A crane.,"option : A construction worker, option : A flagpole, option : A trapeze artist"
"When I go in, I can cause some pain. I'll fill your holes when you ask me to. I also ask that you spit and not swallow. What am I?",Your dentist.,"option : Toothpaste, option : Floss, option : Mouthwash"
"I start with a ""p"" and end with ""o-r-n."" I'm a major player in the film industry. What am I?",Popcorn.,"option : Butter, option : Movie, option : Actor"
I'm spread out before being eaten. Your tongue gets me off. Sometimes people lick my nuts. What am I?,Peanut butter.,"option : Almond butter, option : Cashew butter, option : Hazelnut butter"
All day long it's in and out. I discharge loads from my shaft. Both men and women go down on me. What am I?,An elevator.,"option : A train, option : A roller coaster, option : A water slide"
"What four-letter word begins with ""f"" and ends with ""k,"" and if you can't get it you can always just use your hands?",A fork.,"option : ""A duck"", option : ""A book"" ,option : ""A sock"""
"I come in a lot of different sizes. Sometimes, I drip a little. If you blow me, it feels really good. What am I?",Your nose.,"option : A faucet, option : A leaky pipe, option : A water droplet"
"What's a four-letter word that ends in ""k"" and means the same as intercourse?",Talk.,"option : Speak, option : Chat, option : Converse"
What month are trees scared of?,Sep-timber.,"option : ""Oct-ober"", option : ""Nov-ember"" ,option : ""Dec-ember"""
Who walks little pumpkins across the road to school?,The crossing gourd.,"option : The pumpkin farmer, option : The scarecrow, option : The school bus driver"
What did the ocean say to the ship's captain?,"Nothing, it just waved.","option : ""Smooth sailing ahead"", option : ""I'm ready to set sail"", option : ""Prepare for a storm"""
"I produce moisture and oxygen into the air.When it gets cold, I change colors.When it freezes, I fall down, even if it's not slippery.What am I?",A leaf.,"option : A cloud, option : A flower, option : A waterfall"
How can you tell a dogwood tree apart from other trees?,By its bark.,"option : By its leaves, option : By its height, option : By its flowers"
"I make ash, but I'm not a bonfire.I can expel rocks, but I'm not a slingshot.I can be a mountain, but I'm not in the Himalayas.I have a crater, but I'm not the Moon.I erupt, but I don't have a bad temper.What am I?",A volcano.,"option : A campfire, option : A catapult, option : Mount Everest"
"If fruit comes from a fruit tree, where does chicken come from?",A poul-tree.,"option : A cow-tree, option : A fish-tree, option : A vegetable-tree"
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.,"option : A key, option : A lock, option : A doorknob"
"When rain falls, does it ever get up again?","Yes, in dew time.","option : ""No, rain never gets up again."", option : ""Yes, rain evaporates and becomes part of the water cycle."", option : ""No, rain disappears into the ground."""
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.,"option : Wind, option : Thunder, option : Snow"
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.,"option : Sleeping bag, option : Hammock, option : Cabin"
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.,"option : A dandelion, option : A marigold, option : A daisy"
What tree grieves the most?,The weeping willow.,"option : The sad oak, option : The mourning maple, option : The sorrowful pine"
What animal can jump higher than a tree?,All of them! Trees can't jump.,"option : Giraffe, option : Kangaroo, option : Squirrel"
I have lots of bark but no bite. What am I?,A tree.,"option : A dog, option : A fence, option : A squirrel"
What did the bat say to his date?,"""You are fun to hang out with.""","option : ""I'm batty for you."", option : ""Let's fly away together."", option : ""You're a real night owl."""
"I come in a box and melt in your hands, I'm a Valentine's day gift that's widely loved.What Am I?",Chocolate.,"option : Flowers, option : Jewelry, option : Teddy bear"
What did the walnut say as he was proposing to the almond?,"""I am nuts about you.""","option : ""You're the nut for me."", option : ""I'm going nuts over you."", option : ""You drive me nutty."""
"It could be delivered by mail, email, by hand, or even by pigeon.It is sometimes short, sometimes lengthy, and with deep, profound, or simple feelings.What is it?",A love letter.,"option : A grocery list, option : A birthday card, option : A text message"
Lipsticks come in this colorAnd some ladybugs as well.And on Valentine's DayThis color roses many shops sell.What color is it?,Red.,"option : Pink, option : White, option : Purple"
"I have wings, but I'm no bird.I have a bow and arrow, but I'm not Robin Hood.I'm a Roman god, but I'm not Jupiter.I look like a toddler, but I need no diaper.My image expresses love, but I'm not a heart.Who am I?",Cupid.,"option : Eros, option : Aphrodite ,option : Hermes"
"Balloons and cards, and bearsUse this red shape to sayThat I love you so muchEvery Valentine's Day.What is it?",A heart.,"option : A flower, option : A box of chocolates, option : A love letter"
"I come in many shades: red, pink, yellow, orange, or white; but I'm not a crayon.I'm fragrant, but I'm not perfume.People put me in water, but I'm not dirty laundry.I have a stem, but I'm not a wine glass.People gift me on Valentine's day, but I'm not a stuffed animal.What am I?",A rose.,"option : A tulip, option : A daisy, option : A sunflower"
What did one train say to his sweetheart on Valentine's day?,I choo-choo-choose you!,"option : ""I rail-y like you!"", option : ""You're on the right track!"", option : ""You're my locomotive love!"""
What did the octopus say to his crush on Valentine's day?,"I would like to hold your hand, hand, hand, hand, hand, hand, hand, hand.","option : ""I'm ink-love with you, you, you, you, you, you, you, you.""
option : ""You octopi my thoughts, thoughts, thoughts, thoughts, thoughts, thoughts, thoughts, thoughts.""
option : ""I'm tentacled by your beauty, beauty, beauty, beauty, beauty, beauty, beauty, beauty."""
What did one lightbulb say to the other lightbulb on Valentine's day?,I love you watts and watts.,"option 1: ""I'm electrified by you.""
option 2: ""You light up my life.""
option 3: ""You're the brightest thing in my world."""
